hm,StationNumber,DayMonthYearinDDMMYYYYformat,Hour24MinutesinHH24MIformatinLocaltime,DayMonthYearinDDMMYYYYformat1,Hour24MinutesinHH24MIformatinLocalstandardtime,Windspeedinkmh,Winddirectionindegreestrue,Speedofmaximumwindgustinlast10minutesinkmh
hm,66022,25/11/2010,00:00,24/11/2010,23:00,8,40,13
hm,66022,25/11/2010,00:30,24/11/2010,23:30,5,30,11
hm,66022,25/11/2010,01:00,25/11/2010,00:00,8,80,8
hm,66022,25/11/2010,01:30,25/11/2010,00:30,8,80,11
hm,66022,25/11/2010,02:00,25/11/2010,01:00,11,70,13
hm,66022,25/11/2010,02:30,25/11/2010,01:30,4,70,8
hm,66022,25/11/2010,03:00,25/11/2010,02:00,5,80,8
hm,66022,25/11/2010,03:30,25/11/2010,02:30,8,70,11
hm,66022,25/11/2010,04:00,25/11/2010,03:00,9,50,18
hm,66022,25/11/2010,04:30,25/11/2010,03:30,13,40,21
hm,66022,25/11/2010,05:00,25/11/2010,04:00,15,40,24
hm,66022,25/11/2010,05:30,25/11/2010,04:30,9,40,15
hm,66022,25/11/2010,06:00,25/11/2010,05:00,13,40,18
hm,66022,25/11/2010,06:30,25/11/2010,05:30,8,30,13
hm,66022,25/11/2010,07:00,25/11/2010,06:00,2,40,5
hm,66022,25/11/2010,07:30,25/11/2010,06:30,5,40,11
hm,66022,25/11/2010,08:00,25/11/2010,07:00,8,40,11
hm,66022,25/11/2010,08:30,25/11/2010,07:30,15,90,17
hm,66022,25/11/2010,09:00,25/11/2010,08:00,17,90,18
hm,66022,25/11/2010,09:30,25/11/2010,08:30,18,90,21
hm,66022,25/11/2010,10:00,25/11/2010,09:00,18,90,22
hm,66022,25/11/2010,10:30,25/11/2010,09:30,15,80,18
hm,66022,25/11/2010,11:00,25/11/2010,10:00,18,80,22
hm,66022,25/11/2010,11:30,25/11/2010,10:30,17,70,22
hm,66022,25/11/2010,12:00,25/11/2010,11:00,17,60,24
hm,66022,25/11/2010,12:30,25/11/2010,11:30,18,50,30
hm,66022,25/11/2010,13:00,25/11/2010,12:00,21,50,31
hm,66022,25/11/2010,13:30,25/11/2010,12:30,24,60,31
hm,66022,25/11/2010,14:00,25/11/2010,13:00,17,50,26
hm,66022,25/11/2010,14:30,25/11/2010,13:30,17,50,31
hm,66022,25/11/2010,15:00,25/11/2010,14:00,21,50,30
hm,66022,25/11/2010,15:30,25/11/2010,14:30,21,50,33
hm,66022,25/11/2010,16:00,25/11/2010,15:00,24,40,37
hm,66022,25/11/2010,16:30,25/11/2010,15:30,22,40,35
hm,66022,25/11/2010,17:00,25/11/2010,16:00,24,40,37
hm,66022,25/11/2010,17:30,25/11/2010,16:30,24,40,44
hm,66022,25/11/2010,18:00,25/11/2010,17:00,28,40,42
hm,66022,25/11/2010,18:30,25/11/2010,17:30,28,30,41
hm,66022,25/11/2010,19:00,25/11/2010,18:00,28,30,41
hm,66022,25/11/2010,19:30,25/11/2010,18:30,28,30,39
hm,66022,25/11/2010,20:00,25/11/2010,19:00,28,30,39
hm,66022,25/11/2010,20:30,25/11/2010,19:30,21,30,31
hm,66022,25/11/2010,21:00,25/11/2010,20:00,24,30,33
hm,66022,25/11/2010,21:30,25/11/2010,20:30,26,30,41
hm,66022,25/11/2010,22:00,25/11/2010,21:00,24,30,37
hm,66022,25/11/2010,22:30,25/11/2010,21:30,18,30,37
hm,66022,25/11/2010,23:00,25/11/2010,22:00,5,40,15
hm,66022,25/11/2010,23:30,25/11/2010,22:30,11,40,18
hm,66022,26/11/2010,00:00,25/11/2010,23:00,11,50,15
hm,66022,26/11/2010,00:30,25/11/2010,23:30,11,60,15
hm,66022,26/11/2010,01:00,26/11/2010,00:00,5,50,11
hm,66022,26/11/2010,01:30,26/11/2010,00:30,8,60,11
hm,66022,26/11/2010,02:00,26/11/2010,01:00,13,70,17
hm,66022,26/11/2010,02:30,26/11/2010,01:30,11,60,15
hm,66022,26/11/2010,03:00,26/11/2010,02:00,8,50,13
hm,66022,26/11/2010,03:30,26/11/2010,02:30,8,70,15
hm,66022,26/11/2010,04:00,26/11/2010,03:00,13,40,21
hm,66022,26/11/2010,04:30,26/11/2010,03:30,9,40,17
hm,66022,26/11/2010,05:00,26/11/2010,04:00,4,70,11
hm,66022,26/11/2010,05:30,26/11/2010,04:30,2,20,8
hm,66022,26/11/2010,06:00,26/11/2010,05:00,9,100,13
hm,66022,26/11/2010,06:30,26/11/2010,05:30,4,50,8
hm,66022,26/11/2010,07:00,26/11/2010,06:00,4,100,5
hm,66022,26/11/2010,07:30,26/11/2010,06:30,2,40,4
hm,66022,26/11/2010,08:00,26/11/2010,07:00,4,350,8
hm,66022,26/11/2010,08:30,26/11/2010,07:30,4,60,8
hm,66022,26/11/2010,09:00,26/11/2010,08:00,13,100,15
hm,66022,26/11/2010,09:30,26/11/2010,08:30,17,90,21
hm,66022,26/11/2010,10:00,26/11/2010,09:00,18,90,21
hm,66022,26/11/2010,10:30,26/11/2010,09:30,18,90,22
hm,66022,26/11/2010,11:00,26/11/2010,10:00,18,90,22
hm,66022,26/11/2010,11:30,26/11/2010,10:30,17,100,18
hm,66022,26/11/2010,12:00,26/11/2010,11:00,18,90,24
hm,66022,26/11/2010,12:30,26/11/2010,11:30,18,90,24
hm,66022,26/11/2010,13:00,26/11/2010,12:00,18,90,22
hm,66022,26/11/2010,13:30,26/11/2010,12:30,18,90,22
hm,66022,26/11/2010,14:00,26/11/2010,13:00,21,90,26
hm,66022,26/11/2010,14:30,26/11/2010,13:30,21,90,24
hm,66022,26/11/2010,15:00,26/11/2010,14:00,18,90,22
hm,66022,26/11/2010,15:30,26/11/2010,14:30,17,70,24
hm,66022,26/11/2010,16:00,26/11/2010,15:00,13,70,21
hm,66022,26/11/2010,16:30,26/11/2010,15:30,15,80,22
hm,66022,26/11/2010,17:00,26/11/2010,16:00,21,70,30
hm,66022,26/11/2010,17:30,26/11/2010,16:30,21,60,35
hm,66022,26/11/2010,18:00,26/11/2010,17:00,17,60,28
hm,66022,26/11/2010,18:30,26/11/2010,17:30,21,60,33
hm,66022,26/11/2010,19:00,26/11/2010,18:00,17,50,26
hm,66022,26/11/2010,19:30,26/11/2010,18:30,18,50,28
hm,66022,26/11/2010,20:00,26/11/2010,19:00,17,50,30
hm,66022,26/11/2010,20:30,26/11/2010,19:30,18,60,28
hm,66022,26/11/2010,21:00,26/11/2010,20:00,15,50,28
hm,66022,26/11/2010,21:30,26/11/2010,20:30,13,60,24
hm,66022,26/11/2010,22:00,26/11/2010,21:00,17,60,24
hm,66022,26/11/2010,22:30,26/11/2010,21:30,13,40,22
hm,66022,26/11/2010,23:00,26/11/2010,22:00,9,50,18
hm,66022,26/11/2010,23:30,26/11/2010,22:30,4,40,8
hm,66022,27/11/2010,00:00,26/11/2010,23:00,11,90,13
hm,66022,27/11/2010,00:30,26/11/2010,23:30,5,70,11
hm,66022,27/11/2010,01:00,27/11/2010,00:00,0,0,2
hm,66022,27/11/2010,01:30,27/11/2010,00:30,4,80,5
hm,66022,27/11/2010,02:00,27/11/2010,01:00,9,100,11
hm,66022,27/11/2010,02:30,27/11/2010,01:30,5,70,11
hm,66022,27/11/2010,03:00,27/11/2010,02:00,5,50,11
hm,66022,27/11/2010,03:30,27/11/2010,02:30,8,70,11
hm,66022,27/11/2010,04:00,27/11/2010,03:00,8,60,11
hm,66022,27/11/2010,04:30,27/11/2010,03:30,2,10,4
hm,66022,27/11/2010,05:00,27/11/2010,04:00,4,20,8
hm,66022,27/11/2010,05:30,27/11/2010,04:30,4,320,8
